U T_anf;U_CD;U_DA;U_AC B+;U_AC B-;U T_end
-5.33;14.34;6.06;-11.9;38.51;-5.19
-5.14;16.01;6.48;-10.07;38.93;-4.96
-4.93;19.11;7.38;-8.33;39.57;-4.75
-4.73;20.61;8.21;-7.3;40.6;-4.59
-4.55;22.83;8.84;-5.95;42.28;-4.41
-4.48;24.95;9.81;-4.49;44.55;-4.2
-4.19;27.67;10.85;-3.13;46.73;-3.97
-3.95;30.35;12.01;-1.96;48.78;-3.8
-3.71;34.01;13.49;-0.26;51.83;-3.51
-3.4;38.5;15.29;1.99;54.41;-3.3
-3.1;43.07;17.05;4.43;56.91;-3.01
-2.9;46.09;18.38;5.82;59.76;-2.81
-2.7;49.09;19.56;7.33;61.24;-2.63
-2.5;53.79;21.5;9.37;65.51;-2.43
-2.3;57.02;22.9;11.07;67.75;-2.21
-2;61.42;24.65;13.21;70.49;-1.94
-1.8;64.12;25.87;15.17;72.03;-1.73
-1.6;66.22;26.81;16.53;73.44;-1.56
-1.4;69.66;28.4;17.79;74.81;-1.32
-1.2;71.43;29.38;19.08;75.01;-1.13
-1.01;73.33;20.29;20.45;75.51;-0.96
-0.79;75.39;31.65;21.44;75.74;-0.76
-0.5;78.1;33.43;22.4;76.14;-0.46
-0.3;80.86;35.16;23.45;76.31;-0.25
-0.1;81.74;35.71;24.17;74.28;-0.07
0;81.54;35.82;24.31;74.2;0.02
0.198;81.48;36.59;23.9;71.9;0.21
0.42;81.03;37.37;24.45;70.3;0.43
0.6;83.3;35.85;28.65;71.2;0.62
0.957;78.13;37.43;22.39;64.22;0.956
0.967;80.52;35.68;28.04;66.74;0.95
0.976;78.08;37.42;22.38;64.05;0.979
0.99;78.04;37.41;22.37;63.95;0.992
1.01;78.03;37.28;22.43;63.83;1.013
1.031;77.99;37.36;22.53;63.67;1.033
1.051;77.95;37.34;22.59;63.52;1.05
1.072;77.85;37.34;22.59;63.25;1.069
1.091;77.75;37.32;22.6;62.98;1.087
1.202;77.33;37.11;22.97;61.82;1.202
1.401;76.11;36.65;23.38;59.47;1.378
1.594;74.08;35.67;23.98;55.94;1.597
